"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"15","CL21",488.370963998655,229.878715153534,0.0769158001666667,0.0135753854822551,"-8.1714298426621",0.0848256907183004,"Low_complexity","40hits","0.142%","0.824"
"16","CL22",1012.33783764582,NA,0.047918689,NA,NA,NA,"Low_complexity","56hits","0.25%","0.795"
"17","CL23",714.632976682723,326.711014486768,0.04786011475,0.010281986557742,"-18.0312567057344",0.0384414237938007,"Simple_repeat","47hits","0.176%","0.772"
"18","CL24",346.535942140188,151.383095699997,0.0799765962,0.0182782994386305,"7.80140903764478",-0.0888489729503024,"LTR.Gypsy","2555hits","21.2%","0.756"
"19","CL26",450.705486167356,135.259821339585,0.070625552875,0.0208684159485616,"0.839922845504087",-0.825251014745226,"LTR.Gypsy","215hits","1.46%","0.732"
"20","CL27",269.303430097901,104.887768895118,0.07563415175,0.0164637834333142,"0.808786136001947",-0.857021590387742,"Simple_repeat","78hits","0.283%","0.706"
"21","CL28",210.111021119589,136.996582023389,0.0604220976,0.0169859024152672,"-1.98712293339342",0.348819476093638,"LTR.Copia","85hits","0.612%","0.695"
"22","CL29",615.366170766017,208.063557494007,0.05622209275,0.0106122428099314,"-8.08813847357887",0.0856992227351467,"LTR.Gypsy","1938hits","17.1%","0.68"
"23","CL30",569.291103627606,NA,0.052083332,NA,NA,NA,"Simple_repeat","263hits","0.991%","0.639"
"24","CL32",80.9775791936156,28.2770285989496,0.0565509037272727,0.0156982140616789,"6.51220543515844",-0.106438162533655,"Simple_repeat","578hits","2.39%","0.626"
"25","CL33",965.899370532987,NA,0.000202028,NA,NA,NA,"DNA.CMC.EnSpm","1hits","0.00464%","0.616"
"26","CL34",241.691319607258,184.938160704712,0.042396017,0.0115436134255478,"-7.75799394777462",0.089346187329622,"LTR.Copia","4169hits","46.8%","0.604"
"27","CL35",188.128038990011,139.002531365893,0.0551428307,0.0123587756414464,"-1.60555878143561",0.431717099725349,"Simple_repeat","165hits","0.866%","0.583"
"28","CL36",558.657942225443,307.336200666521,0.0572181998,0.0269949576939517,"-11.8829110669801",0.0583314287764085,"LTR.Copia","260hits","1.55%","0.579"
"29","CL37",766.967190985691,304.7370300341,0.0022991025,0.00241219225353464,"-73.5120730038816",0.00942902508712203,"rRNA","1317hits","16.7%","0.557"
