"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"55","CL73",134.112095209452,134.314082238336,0.042879281,0.00142146423530738,"-381.744903835793",0.00181573394587633,"LTR.Gypsy","57hits","0.799%","0.166"
"56","CL74",84.9342764977167,56.6613954123179,0.0356822185,0.00380681399060102,"-67.7222639337697",0.0102351448445052,"LTR.Copia","1186hits","43.4%","0.166"
"57","CL76",179.590238751141,73.7870107619491,0.0147278195,0.0025783991166661,"71.2560305178699",-0.00972755815223407,"Simple_repeat","184hits","2.89%","0.163"
"58","CL77",258.033185006071,NA,0.000273058,NA,NA,NA,"rRNA","5hits","0.176%","0.162"
"59","CL79",27.3032288742403,18.1449950512143,0.050571856,0.0276842240195069,"-8.16478006803153",0.084894776685278,"DNA.PIF.Harbinger","348hits","12.2%","0.16"
"60","CL80",83.6682759412081,NA,0.000199483,NA,NA,NA,"LTR.Gypsy","33hits","1.32%","0.159"
"61","CL81",72.4533361633765,71.0731701551991,0.0484951435,0.0100919408694854,"1.53593980448736",-0.451285381454967,"Simple_repeat","146hits","2.42%","0.156"
"62","CL83",51.2546266330561,19.2794776417809,0.0649127108,0.0177279720474056,"2.20244255497494",-0.314717484455722,"LTR.Copia","1239hits","51.8%","0.15"
"63","CL84",248.828294631493,NA,0.034035104,NA,NA,NA,"Low_complexity","36hits","1.22%","0.143"
"64","CL87",50.9273141415406,23.0363522781808,0.0202600585,0.00870506925371444,"-23.3876249304931",0.029637348068474,"Simple_repeat","41hits","0.754%","0.137"
"65","CL91",168.502819668,3.13111657662196,0.017670768,0.00795410983127905,"-1.01463487883173",0.683149372272763,"LTR.Copia","84hits","3.65%","0.131"
"66","CL97",107.52049968762,145.759755845721,0.018737246,0.00242925968991214,"-487.499911746052",0.0014218406277805,"Low_complexity","118hits","2.65%","0.123"
"67","CL98",64.0297514537095,42.8149167224831,0.038375787,0.0345234044866758,"8.50098318690479",-0.0815372957833504,"Simple_repeat","209hits","4.38%","0.121"
"68","CL101",84.8403938160055,82.636588833903,0.0122914296666667,0.00117965691760458,"-29.7826876149531",0.0232734932965531,"LTR.Copia","48hits","2.33%","0.116"
"69","CL102",49.518173902152,55.1147983649622,0.0446856805,0.0139035198686941,"15.1057181188604",-0.0458864103716134,"LTR.Gypsy","368hits","16.3%","0.116"
"70","CL105",177.604958475617,NA,0.052209375,NA,NA,NA,"Simple_repeat","27hits","0.767%","0.112"
"71","CL106",222.097886992777,NA,0.023802425,NA,NA,NA,"Simple_repeat","305hits","12.8%","0.11"
"72","CL107",29.8701555198717,4.45866988796667,0.0822588486666667,0.015036359930314,"2.82882359840588",-0.245030188856793,"LTR.Copia","1450hits","83.8%","0.11"
