"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"84","CL196",481.306851851852,243.450601883647,0.068195295,0.00998922833637368,"-18.6364192918536",0.0371931522737812,"LTR.Gypsy","687hits","9.98%","0.097"
"85","CL199",457.258888888889,129.455538151231,0.0505172755,0.00725809260574185,"17.1721713909527",-0.0403645622198445,"Simple_repeat","107hits","0.978%","0.093"
"86","CL200",320.435,NA,0.027591532,NA,NA,NA,"Simple_repeat","448hits","3.41%","0.092"
"87","CL201",392.694444444445,67.3770624824604,0.046917398,0.0114906153019291,"-6.51692737507629",0.10636104112666,"DNA.CMC.EnSpm","983hits","15.1%","0.092"
"88","CL202",191.923888888889,NA,0.040170333,NA,NA,NA,"LTR.Copia","176hits","2.54%","0.092"
"89","CL208",619.422222222222,NA,0.079110699,NA,NA,NA,"Simple_repeat","83hits","0.764%","0.086"
"90","CL209",410.315185185185,251.47621697082,0.03924356,0.0158268388097985,"23.6896301664331",-0.0292595188565711,"LTR.Gypsy","2668hits","46%","0.086"
"91","CL210",117.389666666667,59.1070146223078,0.048224093,0.016824456622908,"7.0393155582781",-0.0984679795672489,"LTR.Gypsy","1625hits","26.9%","0.085"
"92","CL212",301.688888888889,272.650946735116,0.0323318355,0.014748396957105,"31.5063748614593",-0.0220002200699976,"LTR.Gypsy","347hits","5.4%","0.084"
"93","CL214",854.311111111111,NA,0.027826661,NA,NA,NA,"LTR.Gypsy","1137hits","17.5%","0.083"
"94","CL216",1341.05555555556,NA,0.042100377,NA,NA,NA,"Simple_repeat","222hits","2.32%","0.082"
"95","CL217",1150.59444444444,NA,0.063012068,NA,NA,NA,"Simple_repeat","1807hits","20.4%","0.082"
"96","CL219",699.011666666667,226.530707967288,0.0471706896666667,0.0126334998480399,"-11.6192394883544",0.0596551246968157,"Simple_repeat","3hits","0.0156%","0.079"
"97","CL221",206.769444444445,126.195660041349,0.0482588423333333,0.00241728549700989,"-103.479133863337",0.00669842464544951,"Simple_repeat","220hits","2.7%","0.078"
"98","CL225",201.831666666666,3.87863931053594,0.0458627606666667,0.0111591433686265,"0.551423030525807",-1.25701528987463,"LTR.Copia","287hits","4.8%","0.076"
"99","CL228",486.410277777778,9.96195603561622,0.065231025,0.00255836748866186,"3.47691141182743",-0.199357158828397,"Simple_repeat","41hits","0.512%","0.074"
"100","CL230",756.72361111111,611.912530769308,0.044605898,0.00907738996538719,"43.9917730675187",-0.0157562910568779,"LTR.Copia","1979hits","40.9%","0.074"
"101","CL231",253.466111111111,NA,0.054878435,NA,NA,NA,"LTR.Gypsy","579hits","9.93%","0.074"
"102","CL232",657.888888888889,NA,0.075161768,NA,NA,NA,"Low_complexity","8hits","0.0809%","0.073"
"103","CL234",51.9321666666667,NA,0.028811693,NA,NA,NA,"Simple_repeat","202hits","2.86%","0.071"
"104","CL239",446.752222222222,8.05237488931231,0.0593087615,0.00247472453462209,"3.16328431952515",-0.219122630324926,"LTR.Gypsy","2292hits","50.7%","0.067"
"105","CL240",714.638888888889,NA,0.048456342,NA,NA,NA,"Simple_repeat","118hits","1.19%","0.067"
"106","CL244",238.435,49.1455446552892,0.04539108825,0.0165384972585914,"-4.1017020993425",0.168990132333369,"DNA.CMC.EnSpm","1297hits","29.1%","0.065"
"107","CL246",605.805555555556,NA,0.021941941,NA,NA,NA,"LTR.Copia","145hits","2.91%","0.064"
"108","CL249",571.090555555556,144.530269051927,0.0500099655,0.0040450474752913,"-27.4673093365314",0.0252353505786627,"Simple_repeat","87hits","1.22%","0.063"
